device:  cpu
iter: 3820 loss: 0.42148348689079285, accy: 0.86
iter: 3830 loss: 0.5312556624412537, accy: 0.82
iter: 3840 loss: 0.4353856146335602, accy: 0.9
iter: 3850 loss: 0.6510607004165649, accy: 0.8
iter: 3860 loss: 0.4019354283809662, accy: 0.88
iter: 3870 loss: 0.399919331073761, accy: 0.84
iter: 3880 loss: 0.6561312675476074, accy: 0.82
iter: 3890 loss: 0.730228066444397, accy: 0.78
iter: 3900 loss: 0.46856093406677246, accy: 0.84
iter: 3910 loss: 0.6481916904449463, accy: 0.76
iter: 3920 loss: 0.31892532110214233, accy: 0.88
iter: 3930 loss: 0.5797551870346069, accy: 0.84
iter: 3940 loss: 0.6939494609832764, accy: 0.78
iter: 3950 loss: 0.3098547160625458, accy: 0.88
iter: 3960 loss: 0.5647523403167725, accy: 0.8
iter: 3970 loss: 0.5718926787376404, accy: 0.82
iter: 3980 loss: 0.4448043704032898, accy: 0.8
iter: 3990 loss: 0.3108304440975189, accy: 0.88
iter: 4000 loss: 0.4135817587375641, accy: 0.88
iter: 4010 loss: 0.9938265085220337, accy: 0.68
iter: 4020 loss: 0.5989948511123657, accy: 0.76
iter: 4030 loss: 0.6502248644828796, accy: 0.78
iter: 4040 loss: 0.4235990643501282, accy: 0.86
iter: 4050 loss: 0.6681903004646301, accy: 0.8
iter: 4060 loss: 0.5175122618675232, accy: 0.82
iter: 4070 loss: 0.5165502429008484, accy: 0.86
iter: 4080 loss: 0.523345410823822, accy: 0.9
iter: 4090 loss: 0.5202303528785706, accy: 0.88
iter: 4100 loss: 0.4792914092540741, accy: 0.88
iter: 4110 loss: 0.7916043996810913, accy: 0.78
iter: 4120 loss: 0.43455711007118225, accy: 0.9
iter: 4130 loss: 0.6012290716171265, accy: 0.8
iter: 4140 loss: 0.3696059286594391, accy: 0.92
iter: 4150 loss: 0.4161355495452881, accy: 0.86
iter: 4160 loss: 0.712442934513092, accy: 0.84
iter: 4170 loss: 0.5161078572273254, accy: 0.8
iter: 4180 loss: 0.5827445387840271, accy: 0.86
iter: 4190 loss: 0.42163440585136414, accy: 0.82
iter: 4200 loss: 0.6214100122451782, accy: 0.8
iter: 4210 loss: 0.4823896884918213, accy: 0.86
iter: 4220 loss: 0.3857119083404541, accy: 0.88
iter: 4230 loss: 0.5423493385314941, accy: 0.8
iter: 4240 loss: 0.4672532379627228, accy: 0.84
iter: 4250 loss: 0.24068497121334076, accy: 0.96
iter: 4260 loss: 0.5584995150566101, accy: 0.84
iter: 4270 loss: 0.5408498644828796, accy: 0.8
iter: 4280 loss: 0.523708164691925, accy: 0.84
iter: 4290 loss: 0.49390822649002075, accy: 0.82
iter: 4300 loss: 0.6424312591552734, accy: 0.86
iter: 4310 loss: 0.6188900470733643, accy: 0.86
iter: 4320 loss: 0.5822407007217407, accy: 0.84
iter: 4330 loss: 0.6058239936828613, accy: 0.8
iter: 4340 loss: 0.6494511961936951, accy: 0.78
iter: 4350 loss: 0.5198958516120911, accy: 0.8
iter: 4360 loss: 0.38325172662734985, accy: 0.92
iter: 4370 loss: 0.34732064604759216, accy: 0.9
